FIPS,RegionName,year,median_home_value
06007,Butte County,2018,299454.1581760479
06113,Yolo County,2018,462989.7319745642
06017,El Dorado County,2018,484195.5013108345
06089,Shasta County,2018,261411.27169436825
06025,Imperial County,2018,220503.10366380203
06039,Madera County,2018,259640.35671321026
06031,Kings County,2018,222655.29467379034
06055,Napa County,2018,695032.033482064
06023,Humboldt County,2018,386052.740257078
06057,Nevada County,2018,468851.19897285645
06101,Sutter County,2018,293942.82952704054
06045,Mendocino County,2018,473742.69992298755
06115,Yuba County,2018,276465.94396211434
06033,Lake County,2018,249699.57961880998
06103,Tehama County,2018,214108.93626354946
06069,San Benito County,2018,594349.8312911581
06109,Tuolumne County,2018,310240.7836625315
06009,Calaveras County,2018,318612.29048713844
06093,Siskiyou County,2018,200632.55098992598
06005,Amador County,2018,333866.39145231975
06035,Lassen County,2018,175033.7380969918
06021,Glenn County,2018,236855.98574486142
06015,Del Norte County,2018,258178.17536528406
06011,Colusa County,2018,248417.4789927519
06063,Plumas County,2018,262879.338570808
06027,Inyo County,2018,348644.68108016957
06043,Mariposa County,2018,312445.2804220366
06105,Trinity County,2018,256898.00111289215
06051,Mono County,2018,445006.18564489746
06049,Modoc County,2018,126550.07201054924
06091,Sierra County,2018,216147.28158769142
06003,Alpine County,2018,371409.1192047736
06037,Los Angeles County,2019,629659.2755792065
06073,San Diego County,2019,603028.5245463356
06059,Orange County,2019,720220.6414054148
06065,Riverside County,2019,394332.6271260511
06071,San Bernardino County,2019,357801.077028552
06085,Santa Clara County,2019,1190625.4175825461
06001,Alameda County,2019,867158.4890483906
06067,Sacramento County,2019,390917.70740095177
06013,Contra Costa County,2019,637618.6486921633
06019,Fresno County,2019,273053.6046327558
06029,Kern County,2019,229770.91836628786
06075,San Francisco County,2019,1319208.5892248352
06111,Ventura County,2019,627209.2112014426
06077,San Joaquin County,2019,394918.636706421
06081,San Mateo County,2019,1339933.3660717774
06099,Stanislaus County,2019,323975.54441301915
06097,Sonoma County,2019,665596.2218719922
06107,Tulare County,2019,234468.3355245066
06095,Solano County,2019,454246.30180821713
06083,Santa Barbara County,2019,607442.1620690209
06053,Monterey County,2019,590585.7331811541
06061,Placer County,2019,510722.6645881475
06079,San Luis Obispo County,2019,614835.0090296178
06047,Merced County,2019,287825.9463367232
06087,Santa Cruz County,2019,820297.3660228606
06041,Marin County,2019,1119551.2337395581
06007,Butte County,2019,331320.6224805625
06113,Yolo County,2019,477569.31872595794
06017,El Dorado County,2019,498525.7434551409
06089,Shasta County,2019,276682.85869450984
06025,Imperial County,2019,235830.7655395718
06039,Madera County,2019,273986.727347657
06031,Kings County,2019,234108.94284641233
06055,Napa County,2019,714638.3466311726
06023,Humboldt County,2019,403469.80040583597
06057,Nevada County,2019,478657.39872739447
06101,Sutter County,2019,309157.2069474656
06045,Mendocino County,2019,496152.3052660351
06115,Yuba County,2019,294612.9937820961
06033,Lake County,2019,264076.18215285527
06103,Tehama County,2019,233419.26019547056
06069,San Benito County,2019,609834.4888042404
06109,Tuolumne County,2019,318846.6913434504
06009,Calaveras County,2019,332113.4703447329
06093,Siskiyou County,2019,214555.4878225463
06005,Amador County,2019,344431.77175839664
06035,Lassen County,2019,183800.82653360884
06021,Glenn County,2019,259062.61020954468
06015,Del Norte County,2019,267769.6101989523
06011,Colusa County,2019,268741.3950085298
06063,Plumas County,2019,277049.4810821091
06027,Inyo County,2019,366084.72113848774
06043,Mariposa County,2019,322106.82933513896
06105,Trinity County,2019,253865.32666904444
06051,Mono County,2019,480020.79482736666
06049,Modoc County,2019,132539.26815963312
