fips,county,premature_death_rate,poor_mental_health_days,preventable_hosp_rate,children_in_poverty_pct,low_birthweight_pct,year,median_home_value,median_household_income,income_source,median_multiple
06007,Butte,7438.0,4.1000533486,3901.0,23.8,5.8307503363,2017,279283.84568602336,49061,1yr,5.692583634374011
06009,Calaveras,7209.5,3.708436763,3436.0,21.2,5.3002070393,2017,296846.95001917885,54800,5yr,5.416915146335381
06011,Colusa,5432.4,3.9139527353,5301.0,19.4,6.4035087719,2017,225670.01231137724,56481,5yr,3.995503130457627
06013,Contra Costa,4712.1,3.4589076525,3376.0,12.7,6.7498907971,2017,581602.9751360649,95339,1yr,6.100367899139544
06015,Del Norte,8297.8,4.1168472991,4874.0,33.8,5.137135394,2017,234723.46917237414,41287,5yr,5.685166497260012
06017,El Dorado,5220.8,3.5024310858,3221.0,11.6,6.2860136197,2017,452863.9282173354,79414,1yr,5.7025704311246805
06019,Fresno,6895.5,4.03541281,4289.0,36.3,7.7038217971,2017,237390.1086430907,51800,1yr,4.582820630175497
06021,Glenn,6667.4,4.0753887738,4983.0,25.7,6.0950413223,2017,218346.59251168187,46260,5yr,4.719986867956806
06023,Humboldt,8768.6,4.1878659549,3213.0000000000005,23.0,5.4976036087,2017,367940.43309445004,46494,1yr,7.913718610884201
06025,Imperial,5550.5,4.1267244074,3768.0,31.4,5.7629129403,2017,208947.16769669703,47211,1yr,4.425815333221008
06027,Inyo,6743.0,3.8259934387,2322.0,19.9,8.4680025856,2017,314898.5787147604,51500,5yr,6.114535509024474
06029,Kern,7474.9,4.1141239922,5283.0,31.3,7.0853367157,2017,204425.44381150565,49854,1yr,4.100482284500855
06031,Kings,6280.3,4.0340617144,4922.0,28.4,6.3491158015,2017,208322.89455364726,57555,1yr,3.61954468862214
06033,Lake,10636.6,4.3600162036,4473.0,30.2,6.3688026651,2017,226303.40181317294,48930,1yr,4.625043977379377
06035,Lassen,6199.9,3.6154868059,6356.0,19.7,7.15903942,2017,160401.78486550823,54083,5yr,2.965844810116085
06037,Los Angeles,4943.4,3.6954927058,4217.0,23.5,7.1246116672,2017,544805.4850212884,65006,1yr,8.380849229629394
06039,Madera,6855.4,4.2692448611,4459.0,32.3,6.2864354829,2017,232489.54159886003,51283,1yr,4.5334621921272165
06041,Marin,3625.3,3.4432655223,2429.0,8.8,6.2312444837,2017,1043969.7866709552,113908,1yr,9.165026044447758
06043,Mariposa,8131.5,3.8432794227,4189.0,24.1,6.2252964427,2017,295365.4738650275,51385,5yr,5.74808745480252
06045,Mendocino,8048.9,4.0825623079,3035.0,27.3,5.8877887789,2017,444494.2098445994,53024,1yr,8.382887180231583
06047,Merced,6664.3,4.1654732669,4496.0,35.9,6.5879842635,2017,242921.9771318587,47735,1yr,5.088969878115821
06049,Modoc,11461.3,4.1462185627,3979.9999999999995,31.1,6.6153846154,2017,118761.74885828211,39296,5yr,3.0222350584864137
06051,Mono,3666.3,3.6720773632,1788.0,17.3,7.7725118483,2017,388517.86572850053,60595,5yr,6.411714922493614
06053,Monterey,4955.1,3.8100900187,2709.0,22.3,5.8378559604,2017,531637.3910764169,71274,1yr,7.459064891495032
06055,Napa,4437.9,3.4189088202,3168.0,12.1,6.226800297,2017,658990.235593277,86562,1yr,7.6129275616699825
06057,Nevada,6121.7,3.656990502,3283.0,16.4,5.4394046775,2017,433749.51445688476,65385,1yr,6.633777081240113
06059,Orange,4118.2,3.4883656302,3027.0,16.8,6.4160830205,2017,665192.0982923089,86217,1yr,7.71532410420577
06061,Placer,4665.6,3.4777015699,2835.0,9.0,5.6336431648,2017,464050.34762645635,80728,1yr,5.748319636637305
06063,Plumas,8975.7,3.936686112,5329.0,22.5,6.7316209035,2017,240083.77613067706,50266,5yr,4.776265788618093
06065,Riverside,5550.3,3.9084241258,3711.9999999999995,22.6,6.5267364468,2017,349899.49559654325,63944,1yr,5.471967590337534
06067,Sacramento,6192.2,3.8851259101,3552.0000000000005,22.7,6.7955506592,2017,348812.8254290067,63045,1yr,5.532759543643536
06069,San Benito,4905.5,3.6407777449,3670.0000000000005,14.0,6.088454911,2017,569055.4977005746,80760,5yr,7.046254305356297
06071,San Bernardino,6498.8,4.0114789994,4475.0,27.3,7.1539339588,2017,307777.60860504524,60420,1yr,5.093969026895817
06073,San Diego,4745.8,3.4110590689,3147.0,17.8,6.4956860589,2017,558221.7635615851,76207,1yr,7.325072021751088
06075,San Francisco,4730.6,3.3011429395,3156.0,13.5,7.0105566219,2017,1203538.9472762507,110816,1yr,10.860696535484504
06077,San Joaquin,6995.4,3.7489783849,4232.0,23.7,7.0368590844,2017,345111.3748217079,61164,1yr,5.642393807169379
06079,San Luis Obispo,5449.1,3.6996780089,2345.0,14.6,5.8027287925,2017,573698.6113805766,71880,1yr,7.981338500008022
06081,San Mateo,3537.7,2.9893432461,2257.0,9.7,6.6966222498,2017,1181231.4368793992,116653,1yr,10.12602707928128
06083,Santa Barbara,4881.6,3.6506694117,2546.0,20.0,5.9922727383,2017,575674.0809884797,71106,1yr,8.095998663804457
06085,Santa Clara,3660.7,3.0294733175,2767.0,9.0,6.8787713846,2017,963104.5423373488,119035,1yr,8.090935794827981
06087,Santa Cruz,5213.4,3.6270412057,3003.0,17.6,5.7001795332,2017,759633.3443572557,79705,1yr,9.530560747221074
06089,Shasta,8514.8,4.0255788626,3565.9999999999995,26.5,5.9405940594,2017,245786.3789411144,52439,1yr,4.687091266826492
06091,Sierra,,3.89436374,3786.0,17.4,7.5342465753,2017,191933.8752676414,44190,5yr,4.343378032759479
06093,Siskiyou,8974.3,4.1583560633,3353.0,31.4,7.4838312288,2017,185764.5631521585,40884,5yr,4.543698345371258
06095,Solano,6338.8,3.4792433729,3154.0,15.8,6.8579197825,2017,404429.7599434464,77133,1yr,5.243277973674645
06097,Sonoma,4690.1,3.5535546996,2592.0,14.0,5.6961514671,2017,609031.2450122024,80409,1yr,7.574167630640878
06099,Stanislaus,7078.3,4.1063902833,4820.0,26.6,6.232973141,2017,282365.57196637924,59514,1yr,4.744523506509044
06101,Sutter,6622.1,3.7707411296,4690.0,24.4,6.0978191827,2017,268522.1449348539,55062,1yr,4.8767234196878775
06103,Tehama,7473.0,4.1504665951,3790.0,32.1,5.6830803406,2017,197984.50880476137,42512,5yr,4.65714407237395
06105,Trinity,10873.3,4.1777601548,5817.0,32.1,6.1957868649,2017,246383.5228901547,36563,5yr,6.73860249132059
06107,Tulare,6922.3,4.3107092417,5032.0,36.3,6.3408049448,2017,207594.29126609743,46266,1yr,4.486972966456954
06109,Tuolumne,6985.5,3.7584105917,2359.0,21.6,5.009334163,2017,294233.13229163206,54325,5yr,5.416164423223784
06111,Ventura,4612.3,3.5046339418,3397.9999999999995,14.3,6.2928957479,2017,587789.3617124966,82857,1yr,7.094021768981458
06113,Yolo,5210.6,3.7581665407,2012.0,16.8,5.5407441753,2017,432274.25416015787,65729,1yr,6.5766138867190715
06115,Yuba,7914.2,4.0905249779,5580.0,31.7,5.9048723898,2017,251490.93635236632,63120,1yr,3.9843304238334336
06001,Alameda,4660.0793548,3.3459090873,3461.9999999999995,12.4,7.2394256202,2018,866795.5120121376,102125,1yr,8.487593752872828
06003,Alpine,,4.3640180342,,33.9,,2018,371409.1192047736,64688,5yr,5.741545869477703
06005,Amador,6213.5108186,3.5951208757,3853.0,16.8,7.2398190045,2018,333866.39145231975,61198,5yr,5.4555114783541905
06007,Butte,7285.5304554,4.1478602515,4040.9999999999995,22.9,5.9578207381,2018,299454.1581760479,51652,1yr,5.797532683653061
06009,Calaveras,7306.2014148,3.6839559469,2836.0,20.4,5.0509164969,2018,318612.29048713844,58151,5yr,5.479050927535871
06011,Colusa,5746.5299587,3.8719486651,5371.0,15.5,6.5096952909,2018,248417.4789927519,56704,5yr,4.3809515905888805
06013,Contra Costa,4702.7530912,3.4033021657,3529.9999999999995,10.3,6.8384009663,2018,626623.5780092406,101618,1yr,6.166462418166472
06015,Del Norte,8127.8842668,4.0769955833,3301.0,30.0,5.3097345133,2018,258178.17536528406,45258,5yr,5.704586490019092
06017,El Dorado,5119.9236959,3.738504263,3440.0,10.0,6.4806480648,2018,484195.5013108345,82742,1yr,5.851870891576642
06019,Fresno,6961.0063714,3.8931131154,4133.0,37.0,7.6800391478,2018,259415.6863706653,52629,1yr,4.929139568881515
06021,Glenn,7335.7779208,4.0802796138,5613.0,23.2,6.2251176258,2018,236855.98574486142,47395,5yr,4.997488885850014
06023,Humboldt,8952.8219231,4.279223942,2897.0,21.4,5.5933992133,2018,386052.740257078,50294,1yr,7.675920393229371
06025,Imperial,5655.2385912,4.1203659901,3352.0000000000005,32.9,5.5196005917,2018,220503.10366380203,48984,1yr,4.501533228478729
06027,Inyo,6345.4262708,3.832014225,2509.0,18.8,7.5136612022,2018,348644.68108016957,52874,5yr,6.59387754057135
06029,Kern,7592.548046,4.0812433519,5184.0,31.1,7.1404771761,2018,217916.691954979,51579,1yr,4.224911145136179
06031,Kings,5966.7521692,3.8405875034,4355.0,21.4,6.3791554358,2018,222655.29467379034,61663,1yr,3.6108410987754462
06033,Lake,11667.0154,4.3719859084,4171.0,29.9,6.4904780412,2018,249699.57961880998,48554,1yr,5.14271902662623
06035,Lassen,6416.0018743,3.7436918331,6648.0,19.3,7.4814126394,2018,175033.7380969918,56362,5yr,3.1055274492919307
06037,Los Angeles,4946.1516978,3.6402303376,4169.0,23.4,7.1040754089,2018,607645.7310096872,68093,1yr,8.923762075539148
06039,Madera,6592.1142681,4.2278677648,4470.0,30.3,6.3631343192,2018,259640.35671321026,56305,1yr,4.611319717844069
06041,Marin,3447.6744813,3.2956834694,2369.0,8.5,5.9742647059,2018,1118395.868521859,126373,1yr,8.849958998534964
06043,Mariposa,7338.7497819,3.8478157263,4708.0,27.6,6.4453125,2018,312445.2804220366,51199,5yr,6.102566073986535
06045,Mendocino,8000.3013339,4.1472259486,2769.0,26.8,6.0211554109,2018,473742.69992298755,51830,1yr,9.14031834696098
06047,Merced,6748.6621226,4.3295800847,5572.0,27.0,6.3701636778,2018,266639.23548048775,57745,1yr,4.617529404805399
06049,Modoc,10390.745127,4.0824047516,3452.0000000000005,30.2,6.24,2018,126550.07201054924,45149,5yr,2.8029429668552845
06051,Mono,3933.4704666,3.6624087168,2659.0,14.8,7.1638861629,2018,445006.18564489746,63018,5yr,7.061572656144236
06053,Monterey,5066.5515903,3.4901942953,2968.0,18.9,5.9181403868,2018,565416.8628135152,70681,1yr,7.999559468789565
06055,Napa,4382.8514641,3.568570562,2950.0,9.7,5.8464223386,2018,695032.033482064,87025,1yr,7.986578954117369
06057,Nevada,5913.6125693,3.6390708806,3344.0,13.7,5.8231868714,2018,468851.19897285645,66299,1yr,7.071768789466756
06059,Orange,4094.3629575,3.3479358683,3061.0,14.5,6.3563525946,2018,717877.460247126,89759,1yr,7.997832643491193
06061,Placer,4740.8561038,3.4100916984,3059.0,7.6,5.6592206598,2018,493129.14034600835,88592,1yr,5.566294251693249
06063,Plumas,9548.6050922,3.9158940134,4720.0,22.6,8.3557951482,2018,262879.338570808,53270,5yr,4.934847729881885
06065,Riverside,5587.4210996,3.5608008416,3858.0,20.9,6.5665723977,2018,381693.66111715796,66964,1yr,5.699982992610328
06067,Sacramento,6240.3360832,3.8495857001,3708.0,23.1,6.8393797415,2018,378297.88760884706,69767,1yr,5.422304063652544
06069,San Benito,4752.1158624,3.5386356399,4691.0,14.6,6.351981352,2018,594349.8312911581,81977,5yr,7.250202267601377
06071,San Bernardino,6562.4666813,3.9313351668,4644.0,25.7,7.2135207714,2018,345069.22812876344,63857,1yr,5.403780762152363
06073,San Diego,4658.1893905,3.6547747517,2971.0,16.4,6.4767066668,2018,593281.6230137177,79079,1yr,7.50239157062833
06075,San Francisco,4568.8082733,3.2302780125,3194.0,11.3,6.9970147348,2018,1316706.5600855432,112376,1yr,11.716973019911219
06077,San Joaquin,7156.0309739,4.0001332864,4477.0,19.1,7.1466696632,2018,378227.43185838097,64119,1yr,5.898835475574805
06079,San Luis Obispo,5326.4225449,3.7104546616,2373.0,11.1,5.8641640447,2018,605724.0257619842,71148,1yr,8.513577693849218
06081,San Mateo,3552.4944375,2.9481156081,2189.0,7.7,6.854074542,2018,1345782.9597976585,124425,1yr,10.816017358229121
06083,Santa Barbara,4854.6894658,3.4611946276,2411.0,16.4,6.1680512461,2018,598191.7079702796,77472,1yr,7.721392347819594
06085,Santa Clara,3621.6544721,2.9005243314,2770.0,10.4,6.9438900783,2018,1188165.7101587004,126606,1yr,9.38475040802727
06087,Santa Cruz,5108.3272322,3.8838007296,3278.0,15.2,5.6251185733,2018,820395.372989467,86941,1yr,9.43623115664033
06089,Shasta,8811.0861999,4.1248436634,3336.0,24.6,6.1524774158,2018,261411.27169436825,56280,1yr,4.644834251854446
06091,Sierra,,3.8036950415,2708.0,20.4,6.7073170732,2018,216147.28158769142,48125,5yr,4.491372084939043
06093,Siskiyou,9534.1354351,4.2493289001,2851.0,27.3,7.7663870767,2018,200632.55098992598,44200,5yr,4.53919798619742
06095,Solano,6346.8528998,3.5869186858,3198.0,16.2,6.6863921688,2018,440651.61164116923,84395,1yr,5.221299977974634
06097,Sonoma,4720.2849108,3.8092630584,2842.0,11.2,5.7181260676,2018,668011.543300455,81395,1yr,8.207034133551875
06099,Stanislaus,7148.4687337,3.932331114,5379.0,19.1,6.2823231759,2018,307818.45844125137,60321,1yr,5.103006555614982
06101,Sutter,6684.0696037,3.7248318597,4956.0,24.8,6.3056218797,2018,293942.82952704054,59121,1yr,4.971885278108296
06103,Tehama,7581.91279,4.29424039,3706.0,28.8,6.0203139428,2018,214108.93626354946,42899,5yr,4.9910006355287875
06105,Trinity,10404.512145,4.3640508813,4945.0,30.9,5.641025641,2018,256898.00111289215,38497,5yr,6.673195342829107
06107,Tulare,7224.8713177,4.0179066805,5454.0,32.7,6.4844329133,2018,222390.4087829343,48817,1yr,4.555593518301705
06109,Tuolumne,7008.0574711,3.7035774811,2785.0,20.4,5.8294573643,2018,310240.7836625315,56493,5yr,5.4916677050702125
06111,Ventura,4711.9914243,3.4978018334,3714.0,12.5,6.1671232877,2018,618417.8337427091,84566,1yr,7.312842439546734
06113,Yolo,5383.6180185,3.751757963,2492.0,15.2,5.7548005908,2018,462989.7319745642,68670,1yr,6.74224161896846
06115,Yuba,8548.2575844,4.0164069821,6130.0,23.8,6.1015753586,2018,276465.94396211434,46574,1yr,5.936057542021607
06001,Alameda,4497.4517815,3.3459090873,3047.0,10.5,7.2838529927,2019,867158.4890483906,108322,1yr,8.005377384542296
06003,Alpine,,4.3640180342,,35.3,,2019,383770.9265002096,63750,5yr,6.019936101964072
06005,Amador,6101.441276,3.5951208757,2752.0,15.7,7.1287128713,2019,344431.77175839664,62772,5yr,5.48702879880196
06007,Butte,7604.9202654,4.1478602515,4256.0,22.6,5.9823529412,2019,331320.6224805625,62563,1yr,5.295791801553034
06009,Calaveras,7329.345035,3.6839559469,2477.0,21.1,5.6193114365,2019,332113.4703447329,63158,5yr,5.258454516367411
06011,Colusa,5676.9476611,3.8719486651,3398.0,15.4,6.600660066,2019,268741.3950085298,59401,5yr,4.524189744423997
