fips,county,premature_death_rate,poor_mental_health_days,preventable_hosp_rate,children_in_poverty_pct,low_birthweight_pct,year
6055.0,Napa,4382.8514641,3.568570562,2950.0,9.7,5.8464223386,2018
6057.0,Nevada,5913.6125693,3.6390708806,3344.0,13.7,5.8231868714,2018
6059.0,Orange,4094.3629575,3.3479358683,3061.0,14.5,6.3563525946,2018
6061.0,Placer,4740.8561038,3.4100916984,3059.0,7.6,5.6592206598,2018
6063.0,Plumas,9548.6050922,3.9158940134,4720.0,22.6,8.3557951482,2018
6065.0,Riverside,5587.4210996,3.5608008416,3858.0,20.9,6.5665723977,2018
6067.0,Sacramento,6240.3360832,3.8495857001,3708.0,23.1,6.8393797415,2018
6069.0,San Benito,4752.1158624,3.5386356399,4691.0,14.6,6.351981352,2018
6071.0,San Bernardino,6562.4666813,3.9313351668,4644.0,25.7,7.2135207714,2018
6073.0,San Diego,4658.1893905,3.6547747517,2971.0,16.4,6.4767066668,2018
6075.0,San Francisco,4568.8082733,3.2302780125,3194.0,11.3,6.9970147348,2018
6077.0,San Joaquin,7156.0309739,4.0001332864,4477.0,19.1,7.1466696632,2018
6079.0,San Luis Obispo,5326.4225449,3.7104546616,2373.0,11.1,5.8641640447,2018
6081.0,San Mateo,3552.4944375,2.9481156081,2189.0,7.7,6.854074542,2018
6083.0,Santa Barbara,4854.6894658,3.4611946276,2411.0,16.4,6.1680512461,2018
6085.0,Santa Clara,3621.6544721,2.9005243314,2770.0,10.4,6.9438900783,2018
6087.0,Santa Cruz,5108.3272322,3.8838007296,3278.0,15.2,5.6251185733,2018
6089.0,Shasta,8811.0861999,4.1248436634,3336.0,24.6,6.1524774158,2018
6091.0,Sierra,,3.8036950415,2708.0,20.4,6.7073170732,2018
6093.0,Siskiyou,9534.1354351,4.2493289001,2851.0,27.3,7.7663870767,2018
6095.0,Solano,6346.8528998,3.5869186858,3198.0,16.2,6.6863921688,2018
6097.0,Sonoma,4720.2849108,3.8092630584,2842.0,11.2,5.7181260676,2018
6099.0,Stanislaus,7148.4687337,3.932331114,5379.0,19.1,6.2823231759,2018
6101.0,Sutter,6684.0696037,3.7248318597,4956.0,24.8,6.3056218797,2018
6103.0,Tehama,7581.91279,4.29424039,3706.0,28.8,6.0203139428,2018
6105.0,Trinity,10404.512145,4.3640508813,4945.0,30.9,5.641025641,2018
6107.0,Tulare,7224.8713177,4.0179066805,5454.0,32.7,6.4844329133,2018
6109.0,Tuolumne,7008.0574711,3.7035774811,2785.0,20.4,5.8294573643,2018
6111.0,Ventura,4711.9914243,3.4978018334,3714.0,12.5,6.1671232877,2018
6113.0,Yolo,5383.6180185,3.751757963,2492.0,15.2,5.7548005908,2018
6115.0,Yuba,8548.2575844,4.0164069821,6130.0,23.8,6.1015753586,2018
6001.0,Alameda,4497.4517815,3.3459090873,3047.0,10.5,7.2838529927,2019
6003.0,Alpine,,4.3640180342,,35.3,,2019
6005.0,Amador,6101.441276,3.5951208757,2752.0,15.7,7.1287128713,2019
6007.0,Butte,7604.9202654,4.1478602515,4256.0,22.6,5.9823529412,2019
6009.0,Calaveras,7329.345035,3.6839559469,2477.0,21.1,5.6193114365,2019
6011.0,Colusa,5676.9476611,3.8719486651,3398.0,15.4,6.600660066,2019
6013.0,Contra Costa,4643.0717249,3.4033021657,3260.0,11.2,6.8851543224,2019
6015.0,Del Norte,8953.6731104,4.0769955833,2514.0,33.9,5.702364395,2019
6017.0,El Dorado,5358.6159827,3.738504263,2627.0,9.6,6.5309814564,2019
6019.0,Fresno,6944.910268,3.8931131154,4043.0,28.3,7.566661756,2019
6021.0,Glenn,7566.3069009,4.0802796138,4963.0,20.8,6.1737523105,2019
6023.0,Humboldt,9087.166241,4.279223942,2676.0,24.7,5.593518157,2019
6025.0,Imperial,6040.0298511,4.1203659901,3749.0,28.1,5.4273324941,2019
6027.0,Inyo,7913.3408712,3.832014225,1710.0,17.6,7.6767676768,2019
6029.0,Kern,7822.443712,4.0812433519,4824.0,29.0,7.2314619131,2019
6031.0,Kings,6016.6870133,3.8405875034,5327.0,24.5,6.3703882616,2019
6033.0,Lake,11578.018825,4.3719859084,3782.0,30.1,6.5351894818,2019
6035.0,Lassen,7294.8005195,3.7436918331,3968.0,18.0,7.7861163227,2019
6037.0,Los Angeles,5007.6549713,3.6402303376,4285.0,20.9,7.0976820669,2019
6039.0,Madera,6643.2037921,4.2278677648,3592.0,28.6,6.2629043359,2019
6041.0,Marin,3133.0033055,3.2956834694,2136.0,8.2,5.8874405387,2019
6043.0,Mariposa,8610.4287028,3.8478157263,2801.0,21.2,6.7647058824,2019
6045.0,Mendocino,7756.2745672,4.1472259486,2453.0,22.8,6.4520547945,2019
6047.0,Merced,7117.5007738,4.3295800847,5246.0,33.7,6.4353398323,2019
6049.0,Modoc,10361.559861,4.0824047516,2747.0,29.7,6.6555740433,2019
6051.0,Mono,3935.1253957,3.6624087168,2276.0,12.6,7.7909270217,2019
6053.0,Monterey,5235.0215235,3.4901942953,2841.0,16.2,5.9904242289,2019
6055.0,Napa,4547.882526,3.568570562,2627.0,8.6,5.9226190476,2019
6057.0,Nevada,5712.7762684,3.6390708806,2329.0,14.4,6.013048845,2019
