year,NAME,GEO_ID,S1901_C01_012E,income_source
2021,"Riverside County, California",0500000US06065,79024,1yr
2021,"Placer County, California",0500000US06061,103659,1yr
2021,"Orange County, California",0500000US06059,100559,1yr
2021,"Nevada County, California",0500000US06057,79519,1yr
2021,"Napa County, California",0500000US06055,97213,1yr
2021,"Monterey County, California",0500000US06053,82163,1yr
2021,"San Benito County, California",0500000US06069,101923,1yr
2021,"Merced County, California",0500000US06047,53992,1yr
2021,"Marin County, California",0500000US06041,118209,1yr
2021,"Madera County, California",0500000US06039,63454,1yr
2021,"Los Angeles County, California",0500000US06037,77456,1yr
2021,"Lake County, California",0500000US06033,61221,1yr
2021,"Kings County, California",0500000US06031,62155,1yr
2021,"Kern County, California",0500000US06029,58217,1yr
2021,"Imperial County, California",0500000US06025,51809,1yr
2021,"Mendocino County, California",0500000US06045,59444,1yr
2021,"San Bernardino County, California",0500000US06071,74846,1yr
2021,"San Diego County, California",0500000US06073,91003,1yr
2021,"San Francisco County, California",0500000US06075,121826,1yr
2022,"Alameda County, California",0500000US06001,122159,1yr
2021,"Yuba County, California",0500000US06115,63303,1yr
2021,"Yolo County, California",0500000US06113,78146,1yr
2021,"Ventura County, California",0500000US06111,96454,1yr
2021,"Tulare County, California",0500000US06107,58209,1yr
2021,"Tehama County, California",0500000US06103,48810,1yr
2021,"Sutter County, California",0500000US06101,64251,1yr
2021,"Stanislaus County, California",0500000US06099,73982,1yr
2021,"Sonoma County, California",0500000US06097,94295,1yr
2021,"Solano County, California",0500000US06095,87770,1yr
2021,"Shasta County, California",0500000US06089,61125,1yr
2021,"Santa Cruz County, California",0500000US06087,93933,1yr
2021,"Santa Clara County, California",0500000US06085,141562,1yr
2021,"Santa Barbara County, California",0500000US06083,84846,1yr
2021,"San Mateo County, California",0500000US06081,131796,1yr
2021,"San Luis Obispo County, California",0500000US06079,80615,1yr
2021,"San Joaquin County, California",0500000US06077,80681,1yr
2022,"Contra Costa County, California",0500000US06013,120061,1yr
2023,"Contra Costa County, California",0500000US06013,122794,1yr
2023,"El Dorado County, California",0500000US06017,108594,1yr
2023,"Fresno County, California",0500000US06019,71689,1yr
2024,"Riverside County, California",0500000US06065,93172,1yr
2024,"Placer County, California",0500000US06061,115442,1yr
2024,"Orange County, California",0500000US06059,115229,1yr
2024,"Nevada County, California",0500000US06057,103703,1yr
2024,"Napa County, California",0500000US06055,122754,1yr
